,Hostel,Hostel_lat,Hostel_lon,Venue,Venue_lat,Venue_lon,Venue_cat
159,Hôtel Auteuil Tour Eiffel,48.850503340950965,2.2754287482427813,Hôtel Félicien Paris,48.84944074823388,2.274378563943017,Hotel
160,Hôtel Auteuil Tour Eiffel,48.850503340950965,2.2754287482427813,Bistrot Blériot,48.850858152217576,2.2779232757914336,French Restaurant
161,Hôtel Auteuil Tour Eiffel,48.850503340950965,2.2754287482427813,Arrêt Théophile Gautier - Rue Gros [22],48.85071371655452,2.2738715114480463,Bus Stop
162,Hôtel Auteuil Tour Eiffel,48.850503340950965,2.2754287482427813,SPEEDY,48.85066265,2.27684601,Auto Workshop
163,Hôtel Auteuil Tour Eiffel,48.850503340950965,2.2754287482427813,Le Bouquet de Versailles,48.84905578254542,2.2752340393551918,Sandwich Place
164,Hôtel Auteuil Tour Eiffel,48.850503340950965,2.2754287482427813,Le Kennedy,48.85080602744935,2.2772182524204254,French Restaurant
165,Yooma Urban Lodge,48.85084434916715,2.2848975557612925,Yooma Urban Lodge,48.85084434916715,2.2848975557612925,Hotel
166,Yooma Urban Lodge,48.85084434916715,2.2848975557612925,Front de Seine - Squash & Fitness,48.84934748034394,2.285584214668169,Gym / Fitness Center
167,Yooma Urban Lodge,48.85084434916715,2.2848975557612925,K-Mart,48.85010192182979,2.284989370749697,Grocery Store
168,Yooma Urban Lodge,48.85084434916715,2.2848975557612925,Hôtel Novotel Paris Tour Eiffel,48.84966163567227,2.2836917638778687,Hotel
169,Yooma Urban Lodge,48.85084434916715,2.2848975557612925,Food Breizh,48.849864284843,2.2849400971934113,Food Truck
170,Yooma Urban Lodge,48.85084434916715,2.2848975557612925,Starbucks,48.85105426342241,2.284350812234072,Coffee Shop
171,Yooma Urban Lodge,48.85084434916715,2.2848975557612925,Bar La Seine,48.84997670925015,2.283051787523748,Bar
172,Yooma Urban Lodge,48.85084434916715,2.2848975557612925,Adagio Paris Tour Eiffel,48.8499390183053,2.2853661497022197,Hotel
173,Yooma Urban Lodge,48.85084434916715,2.2848975557612925,Atelier du France,48.851543456774586,2.283551698953438,Restaurant
174,Hôtel Beaugrenelle Saint-Charles,48.847260910853535,2.285866829019482,Boulanger,48.84639297534639,2.285131498286843,Department Store
175,Hôtel Beaugrenelle Saint-Charles,48.847260910853535,2.285866829019482,Uniqlo,48.84768656965549,2.2835013270378113,Clothing Store
176,Hôtel Beaugrenelle Saint-Charles,48.847260910853535,2.285866829019482,Le Pareloup,48.84735137212785,2.285994440317154,French Restaurant
177,Hôtel Beaugrenelle Saint-Charles,48.847260910853535,2.285866829019482,Platine Hotel,48.847608721058,2.2832061055911503,Hotel
178,Hôtel Beaugrenelle Saint-Charles,48.847260910853535,2.285866829019482,O Fil Rouge,48.848557709313816,2.2871256513298754,French Restaurant
179,Hôtel Beaugrenelle Saint-Charles,48.847260910853535,2.285866829019482,Restaurant Téhéran,48.847798920905774,2.285140190891443,Restaurant
180,Hôtel Beaugrenelle Saint-Charles,48.847260910853535,2.285866829019482,Trattoria Napoletana da Enzo,48.84723318709948,2.2860487793624946,Italian Restaurant
181,Hôtel Beaugrenelle Saint-Charles,48.847260910853535,2.285866829019482,Le Relais du 15ème,48.84662819680831,2.286978760528523,Persian Restaurant
182,Hôtel Beaugrenelle Saint-Charles,48.847260910853535,2.285866829019482,Nature & Découvertes,48.84760296379321,2.2839558306053678,Miscellaneous Shop
183,Hôtel Beaugrenelle Saint-Charles,48.847260910853535,2.285866829019482,Starbucks,48.84690741194954,2.2858171775554395,Coffee Shop
184,Hôtel Beaugrenelle Saint-Charles,48.847260910853535,2.285866829019482,La Grande Récré,48.8475455258463,2.284240330457252,Toy / Game Store
185,Hôtel Beaugrenelle Saint-Charles,48.847260910853535,2.285866829019482,Hema,48.84754570466117,2.284306705938475,Furniture / Home Store
186,Hôtel Beaugrenelle Saint-Charles,48.847260910853535,2.285866829019482,Hôtel Beaugrenelle Saint-Charles,48.84726091085354,2.285866829019482,Hotel
187,Hôtel Beaugrenelle Saint-Charles,48.847260910853535,2.285866829019482,Akasaka,48.847604,2.285918,Korean Restaurant
188,Hôtel Beaugrenelle Saint-Charles,48.847260910853535,2.285866829019482,Kim Anh,48.846546,2.283373,Vietnamese Restaurant
189,Hôtel Beaugrenelle Saint-Charles,48.847260910853535,2.285866829019482,Kyoto,48.84594475422982,2.2851198903748684,Asian Restaurant
190,Hôtel Beaugrenelle Saint-Charles,48.847260910853535,2.285866829019482,Café Beaugrenelle,48.84670341739022,2.2854612978798405,Café
191,Hôtel Beaugrenelle Saint-Charles,48.847260910853535,2.285866829019482,EXKi,48.84756980535031,2.283923589903596,Sandwich Place
192,Hôtel Beaugrenelle Saint-Charles,48.847260910853535,2.285866829019482,Hôtel Alizé,48.846781084391836,2.2877687215805054,Hotel
193,Hôtel Beaugrenelle Saint-Charles,48.847260910853535,2.285866829019482,Place Charles Michels,48.847887859833854,2.284783079759347,Plaza
194,Hôtel Beaugrenelle Saint-Charles,48.847260910853535,2.285866829019482,Macis et Muscade,48.846290151186814,2.286568527691236,French Restaurant
195,Hôtel Beaugrenelle Saint-Charles,48.847260910853535,2.285866829019482,Eric Kayser,48.846967594544594,2.285493308004249,Bakery
196,Hôtel Beaugrenelle Saint-Charles,48.847260910853535,2.285866829019482,Le Relais Charbon,48.84658273458205,2.2860461819873534,French Restaurant
197,Hôtel Beaugrenelle Saint-Charles,48.847260910853535,2.285866829019482,Au Goût Dujour,48.84767198562815,2.2855274505794925,French Restaurant
198,Hôtel Beaugrenelle Saint-Charles,48.847260910853535,2.285866829019482,Il Teatro,48.84695755229505,2.285628831575995,Pizza Place
